,Date,Close,Probability,Position,Actual_Return,Strategy_Return,Cumulative_Strategy,Cumulative_Market
142,2025-07-18,24968.40039,1.0,1,0.0048861876130104065,0.0048861876130104065,1.0505765092109383,1.0505765092109383
143,2025-07-21,25090.69922,1.0,1,-0.0011883502593263984,-0.0011883502593263984,1.0493280563437752,1.0493280563437752
144,2025-07-22,25060.90039,1.0,1,0.006324502639472485,0.006324502639472485,1.055964534405794,1.055964534405794
145,2025-07-23,25219.90039,1.0,1,-0.006276651751250029,-0.006276651751250029,1.049336612761658,1.049336612761658
146,2025-07-24,25062.09961,1.0,1,-0.009022252634167671,-0.009022252634167671,1.0398692327430406,1.0398692327430406
147,2025-07-25,24837.0,1.0,1,-0.006304795853793621,-0.006304795853793621,1.0333130695159547,1.0333130695159547
148,2025-07-28,24680.90039,1.0,1,0.005664401222020388,0.005664401222020388,1.0391661693296506,1.0391661693296506
149,2025-07-29,24821.09961,1.0,1,0.0013669003965333104,0.0013669003965333104,1.0405866059785713,1.0405866059785713
150,2025-07-30,24855.05078,1.0,1,-0.0034943697974085808,-0.0034943697974085808,1.036950411571052,1.036950411571052
151,2025-07-31,24768.34961,1.0,1,-0.008229714818298817,-0.008229714818298817,1.0284166054031045,1.0284166054031045
152,2025-08-01,24565.34961,1.0,1,0.006386974826455116,0.006386974826455116,1.0349850763729227,1.0349850763729227
153,2025-08-04,24722.75,1.0,1,-0.0029651960358023643,-0.0029651960358023643,1.031916142727347,1.031916142727347
154,2025-08-05,24649.55078,1.0,1,-0.0030615960713475943,-0.0030615960713475943,1.028756832318813,1.028756832318813
155,2025-08-06,24574.19922,1.0,1,0.0008928621537052095,0.0008928621537052095,1.029675370359756,1.029675370359756
156,2025-08-07,24596.15039,1.0,1,-0.009512009099125862,-0.009512009099125862,1.0198810888677483,1.0198810888677483
157,2025-08-08,24363.30078,1.0,1,0.009060632437467575,0.009060632437467575,1.029121856543903,1.029121856543903
158,2025-08-11,24585.05078,1.0,1,-0.003979851026087999,-0.003979851026087999,1.0250261048671672,1.0250261048671672
159,2025-08-12,24487.40039,1.0,1,0.005373987834900618,0.005373987834900618,1.0305345826851788,1.0305345826851788
160,2025-08-13,24619.34961,1.0,1,0.0004853203136008233,0.0004853203136008233,1.0310347220520242,1.0310347220520242
161,2025-08-14,24631.30078,1.0,1,0.009923617355525494,0.009923617355525494,1.041266316113929,1.041266316113929
162,2025-08-18,24876.94922,1.0,1,0.004159900359809399,0.004159900359809399,1.0455978802369887,1.0455978802369887
163,2025-08-19,24980.65039,1.0,1,0.0027942736633121967,0.0027942736633121967,1.04851956685615,1.04851956685615
164,2025-08-20,25050.55078,1.0,1,0.001324411598034203,0.001324411598034203,1.0499082383312601,1.0499082383312601
165,2025-08-21,25083.75,1.0,1,-0.008553963154554367,-0.008553963154554367,1.0409273619449115,1.0409273619449115
166,2025-08-22,24870.09961,1.0,1,0.00391872925683856,0.00391872925683856,1.0450064744524088,1.0450064744524088
167,2025-08-25,24967.75,1.0,1,-0.010293981991708279,-0.010293981991708279,1.034249196623177,1.034249196623177
